request_key,attempt,raw_file,phase,utc_start,http_status,error,ok,latency_ms,response_id,model_snapshot,provider,input_tokens,output_tokens,cost,noul,choice,choice_confidence,score,score_confidence,p_DEFER,p_STANDARD,p_ACCELERATED,p_EMERGENCY,p_REVIEW,s_0,s_1,s_2,s_3,s_4
sast-015ebf3cc658909e51b44b45,1,sast-015ebf3cc658909e51b44b45__a1.json,secondary,2026-09-24T01:11:32.615+00:00,200,,True,166.8,gen-dec-1790212292-i2XD1aRpcKchPEIszIai,typesafe/jev-1.13-20260917,TypeSafe,1263,98,5.3046e-05,0.1,DEFER,0.89,0.35,0.71,0.91,0.03,0.0,0.0,0.06,0.69,0.28,0.03,0.0,0.0
sast-02939d7d6fe5f231b95c6f04,1,sast-02939d7d6fe5f231b95c6f04__a1.json,secondary,2026-09-24T01:12:38.369+00:00,200,,True,328.2,gen-dec-1790212358-dl2NTSUc04CO3tshh5lf,typesafe/jev-1.13-20260917,TypeSafe,1265,98,5.313e-05,0.16,DEFER,0.33,1.01,0.72,0.46,0.07,0.0,0.0,0.47000000000000003,0.16,0.67,0.17,0.0,0.0
sast-02c53908ebd1466033aaaf6f,1,sast-02c53908ebd1466033aaaf6f__a1.json,secondary,2026-09-24T01:10:50.069+00:00,200,,True,159.4,gen-dec-1790212250-ADzIvycXXnMVASDlleyd,typesafe/jev-1.13-20260917,TypeSafe,1241,100,5.2122e-05,0.75,ACCELERATED,0.63,3.42,0.59,0.0,0.02,0.71,0.26,0.01,0.0,0.0,0.03,0.51,0.46
sast-030de86236e71759c8f480f5,1,sast-030de86236e71759c8f480f5__a1.json,secondary,2026-09-24T01:11:59.414+00:00,200,,True,196.6,gen-dec-1790212319-nlfvNIKyz6kAqNpFhzL3,typesafe/jev-1.13-20260917,TypeSafe,1290,98,5.418e-05,0.07,DEFER,0.7,0.29,0.76,0.76,0.01,0.0,0.0,0.23,0.76,0.21,0.03,0.0,0.0
sast-033b1131ea0ea4417006b9f4,1,sast-033b1131ea0ea4417006b9f4__a1.json,secondary,2026-09-24T01:09:38.616+00:00,200,,True,175.6,gen-dec-1790212178-biD1o5A3xQ0Nl3aAe40L,typesafe/jev-1.13-20260917,TypeSafe,1244,98,5.2248e-05,0.16,DEFER,0.71,0.84,0.68,0.77,0.12,0.0,0.0,0.11,0.27,0.62,0.11,0.0,0.0
sast-038c7a657223ee58148ba689,1,sast-038c7a657223ee58148ba689__a1.json,secondary,2026-09-24T01:10:44.248+00:00,200,,True,186.2,gen-dec-1790212244-yIZK5y0hwkujJ8p6XvVG,typesafe/jev-1.13-20260917,TypeSafe,1243,100,5.2206e-05,0.46,ACCELERATED,0.41,2.65,0.71,0.01,0.39,0.53,0.0,0.07,0.0,0.01,0.34,0.65,0.0
sast-0485acf5268825b2bf7bbc05,1,sast-0485acf5268825b2bf7bbc05__a1.json,secondary,2026-09-24T01:10:35.430+00:00,200,,True,231.7,gen-dec-1790212235-F4IVL1NJyopedbJygQs4,typesafe/jev-1.13-20260917,TypeSafe,1274,99,5.3508e-05,0.4,STANDARD,0.19,2.09,0.43,0.23,0.35,0.18,0.01,0.23,0.04,0.22,0.45999999999999996,0.16,0.12
sast-04aa354e753bc8c1a1116bba,1,sast-04aa354e753bc8c1a1116bba__a1.json,secondary,2026-09-24T01:09:18.824+00:00,200,,True,183.4,gen-dec-1790212158-wesbO3wtDTY3mvb8kUUk,typesafe/jev-1.13-20260917,TypeSafe,1256,100,5.2752e-05,0.81,ACCELERATED,0.73,3.09,0.62,0.0,0.02,0.78,0.18,0.02,0.0,0.0,0.18,0.55,0.27
sast-062b92ea13089eb2fb8f966e,1,sast-062b92ea13089eb2fb8f966e__a1.json,secondary,2026-09-24T01:11:52.564+00:00,200,,True,330.8,gen-dec-1790212312-8ePSjWNkBjDbNrpiKm3v,typesafe/jev-1.13-20260917,TypeSafe,1256,98,5.2752e-05,0.14,DEFER,0.55,0.85,0.65,0.64,0.09,0.0,0.0,0.27,0.29,0.58,0.13,0.0,0.0
sast-084dfb3f7254aee4a21fe385,1,sast-084dfb3f7254aee4a21fe385__a1.json,secondary,2026-09-24T01:08:37.165+00:00,200,,True,203.1,gen-dec-1790212117-1cINMbLDoZ657ROOLS22,typesafe/jev-1.13-20260917,TypeSafe,1254,100,5.2668e-05,0.64,ACCELERATED,0.39,2.53,0.52,0.0,0.06,0.52,0.03,0.39,0.0,0.02,0.51,0.38,0.09
sast-084f5540894dde88e6555b3c,1,sast-084f5540894dde88e6555b3c__a1.json,secondary,2026-09-24T01:12:20.310+00:00,200,,True,182.4,gen-dec-1790212340-WuYimL4tKvvQzhqYLzMC,typesafe/jev-1.13-20260917,TypeSafe,1263,98,5.3046e-05,0.1,DEFER,0.96,0.17,0.86,0.97,0.0,0.0,0.0,0.03,0.84,0.15,0.01,0.0,0.0
sast-086e17bf414fe4e058ff9ae3,1,sast-086e17bf414fe4e058ff9ae3__a1.json,sast_main,2026-09-24T01:06:34.681+00:00,200,,True,200.2,gen-dec-1790211994-p0E87sq69bt91TyN5pz5,typesafe/jev-1.13-20260917,TypeSafe,1262,98,5.3004e-05,0.33,DEFER,0.28,1.68,0.55,0.42,0.22,0.05,0.0,0.31,0.06,0.3,0.54,0.09,0.01
sast-08cdcd5f52b88c44fa9585b1,1,sast-08cdcd5f52b88c44fa9585b1__a1.json,secondary,2026-09-24T01:12:36.107+00:00,200,,True,260.7,gen-dec-1790212356-7Mpswhmt7Nv5E776JqjZ,typesafe/jev-1.13-20260917,TypeSafe,1261,98,5.2962e-05,0.09,DEFER,0.89,0.27,0.77,0.92,0.01,0.0,0.0,0.07,0.73,0.26,0.01,0.0,0.0
sast-0a8a94811446ae646a682f61,1,sast-0a8a94811446ae646a682f61__a1.json,secondary,2026-09-24T01:12:08.805+00:00,200,,True,155.8,gen-dec-1790212328-F6aYI9s3vizjBj3VFhzv,typesafe/jev-1.13-20260917,TypeSafe,1273,99,5.3466e-05,0.31,STANDARD,0.32,1.77,0.67,0.28,0.46,0.08,0.0,0.18,0.02,0.28,0.62,0.08,0.0
sast-0ad0bbea6bbef7d3c5ccbe89,1,sast-0ad0bbea6bbef7d3c5ccbe89__a1.json,secondary,2026-09-24T01:08:49.496+00:00,200,,True,237.5,gen-dec-1790212129-4DX01tSCklKQp6NvlmOj,typesafe/jev-1.13-20260917,TypeSafe,1237,100,5.1954e-05,0.72,ACCELERATED,0.43,3.37,0.48,0.0,0.07,0.54,0.35,0.04,0.0,0.0,0.09,0.44,0.47
sast-0b1d0277a18f0ac440032822,1,sast-0b1d0277a18f0ac440032822__a1.json,sast_main,2026-09-24T01:06:03.152+00:00,200,,True,167.1,gen-dec-1790211963-AoSMlpRr6Mnlq3VoHs1q,typesafe/jev-1.13-20260917,TypeSafe,1243,99,5.2206e-05,0.34,STANDARD,0.24,1.77,0.71,0.32,0.39,0.06,0.0,0.23,0.03,0.23,0.68,0.06,0.0
sast-0b656e7375d1ae65e9277d9c,1,sast-0b656e7375d1ae65e9277d9c__a1.json,secondary,2026-09-24T01:09:01.531+00:00,200,,True,155.5,gen-dec-1790212141-uHP823NuhHODZeDgmYvt,typesafe/jev-1.13-20260917,TypeSafe,1259,98,5.2878e-05,0.16,DEFER,0.68,1.03,0.57,0.75,0.04,0.0,0.0,0.21,0.24,0.5,0.25,0.01,0.0
sast-0b7228f97c81ed460f7a8542,1,sast-0b7228f97c81ed460f7a8542__a1.json,secondary,2026-09-24T01:08:02.834+00:00,200,,True,153.1,gen-dec-1790212082-BiSv4J5Trk555ZxZ0qTE,typesafe/jev-1.13-20260917,TypeSafe,1230,99,5.166e-05,0.37,STANDARD,0.81,1.87,0.77,0.01,0.85,0.08,0.0,0.06,0.0,0.2,0.73,0.07,0.0
sast-0c13b22bf892c6253d33cba6,1,sast-0c13b22bf892c6253d33cba6__a1.json,sast_main,2026-09-24T01:06:48.719+00:00,200,,True,199.8,gen-dec-1790212008-qvePlVnsuxK4fOevBnKP,typesafe/jev-1.13-20260917,TypeSafe,1247,98,5.2374e-05,0.24,DEFER,0.54,1.22,0.33,0.64,0.05,0.02,0.0,0.29,0.29,0.33,0.28,0.09,0.01
sast-0ccf65fd77025f5bfdb9ae97,1,sast-0ccf65fd77025f5bfdb9ae97__a1.json,sast_main,2026-09-24T01:06:02.042+00:00,200,,True,141.9,gen-dec-1790211962-nLvxyDKDcrPXGsTjqKjI,typesafe/jev-1.13-20260917,TypeSafe,1240,100,5.208e-05,0.48,ACCELERATED,0.32,2.88,0.52,0.02,0.34,0.45,0.07,0.12,0.0,0.03,0.29,0.45,0.23
sast-0d187118da5339c19c1eedf7,1,sast-0d187118da5339c19c1eedf7__a1.json,secondary,2026-09-24T01:11:55.931+00:00,200,,True,348.0,gen-dec-1790212315-S3AWSP0tT7SuEQionFI2,typesafe/jev-1.13-20260917,TypeSafe,1256,98,5.2752e-05,0.21,DEFER,0.61,1.47,0.37,0.69,0.06,0.03,0.0,0.22,0.19,0.26,0.44,0.11,0.0
