domain,attribute,n_pairs,mean_d_noul,d_noul_ci_lo,d_noul_ci_hi,share_d_noul_positive,mean_d_score,d_score_ci_lo,d_score_ci_hi,mean_d_expected_priority_rank,choice_flip_rate,rubric_mean_d_exposure,rubric_flip_rate,b1_mean_d_exposure,mean_d_p_DEFER,mean_d_p_STANDARD,mean_d_p_ACCELERATED,mean_d_p_EMERGENCY,mean_d_p_REVIEW,jev_rank_by_d_noul,jev_rank_by_d_score,rubric_rank_by_d_exposure
sast,asset,15,0.1933333333333333,0.13333333333333333,0.2506666666666667,1.0,0.8599999999999999,0.6199833333333331,1.1066833333333332,0.5470571770742854,0.5333333333333333,0.6666666666666666,0.4,0.7333333333333333,-0.025333333333333333,-0.3593333333333334,0.2373333333333333,0.14533333333333334,0.0026666666666666666,3.0,3.0,4.0
sast,attacker_controlled,15,0.10666666666666666,0.06466666666666666,0.15134999999999996,1.0,0.20600000000000004,0.14798333333333336,0.2700000000000001,0.5234319655442472,0.4666666666666667,1.5333333333333334,0.6,1.0,-0.20666666666666667,0.050666666666666665,0.23133333333333336,0.04133333333333333,-0.11666666666666667,6.0,6.0,3.0
sast,auth,15,-0.002666666666666667,-0.01666666666666666,0.010666666666666677,0.4,0.017999999999999957,-0.030000000000000013,0.07201666666666656,-0.0038623909823223743,0.06666666666666667,0.4,0.26666666666666666,0.3333333333333333,0.001999999999999991,0.0013333333333333272,-0.020666666666666667,0.010666666666666665,0.008,7.0,7.0,7.0
sast,internet,15,0.12733333333333335,0.08931666666666667,0.16266666666666665,1.0,0.5626666666666668,0.4053166666666666,0.7320166666666665,0.3603763515094446,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333,-0.030666666666666658,-0.23800000000000002,0.18599999999999997,0.07533333333333332,0.006666666666666665,4.0,4.0,6.0
sast,reachable,15,0.28933333333333333,0.19666666666666666,0.38403333333333317,1.0,1.224,0.9506666666666668,1.5166833333333332,1.1513490871931578,0.7333333333333333,1.6666666666666667,0.6666666666666666,0.5333333333333333,-0.5133333333333333,0.2286666666666667,0.3586666666666665,0.05600000000000001,-0.13066666666666663,1.0,1.0,1.5
sast,sanitization,15,0.28,0.17933333333333337,0.37934999999999985,1.0,1.0800000000000003,0.7819833333333334,1.3653499999999998,0.982023215987811,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,-0.42466666666666664,0.174,0.31,0.056,-0.11600000000000002,2.0,2.0,1.5
sast,severity,15,0.11666666666666667,0.07533333333333334,0.156,0.9333333333333333,0.21533333333333332,0.08331666666666664,0.35,0.2035854608403313,0.06666666666666667,0.5333333333333333,0.4666666666666667,0.8666666666666667,0.00466666666666667,-0.11266666666666665,0.012666666666666675,0.09066666666666666,0.005333333333333332,5.0,5.0,5.0
sca,asset,15,0.206,0.17400000000000002,0.23399999999999999,1.0,0.9513333333333333,0.6893166666666666,1.1913666666666665,0.6096679028358561,0.7333333333333333,0.7333333333333333,0.4,0.7333333333333333,-0.024000000000000007,-0.24800000000000003,-0.04600000000000001,0.3106666666666667,0.007999999999999998,2.0,2.0,3.0
sca,control,15,0.16466666666666666,0.13,0.19466666666666665,1.0,0.7453333333333333,0.5333166666666664,0.9373666666666666,1.3722883227530933,0.8,1.2,0.7333333333333333,0.6,-0.41333333333333333,0.022666666666666665,0.12733333333333335,0.36000000000000004,-0.09666666666666666,3.0,3.0,2.0
sca,cvss,15,0.07733333333333331,0.05733333333333334,0.09934999999999992,1.0,0.16400000000000003,0.09333333333333332,0.23734999999999995,0.08448508168158227,0.0,0.5333333333333333,0.3333333333333333,0.8,0.003999999999999991,-0.018000000000000006,-0.05466666666666667,0.07133333333333332,-0.002666666666666667,7.0,6.0,6.0
sca,epss,15,0.11800000000000001,0.09531666666666665,0.14134999999999995,1.0,0.27400000000000013,0.2160000000000001,0.3313333333333334,0.16136652932579143,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.5333333333333333,-0.0026666666666666635,-0.042,-0.06866666666666667,0.12066666666666664,-0.007333333333333335,5.0,5.0,7.0
sca,internet,15,0.13799999999999998,0.1193333333333333,0.15799999999999997,1.0,0.7200000000000002,0.5473166666666667,0.8800499999999999,0.5186081362074921,0.6666666666666666,0.6,0.4,0.4666666666666667,-0.038000000000000006,-0.11333333333333334,-0.18533333333333335,0.35066666666666674,-0.014000000000000005,4.0,4.0,4.5
sca,kev,15,0.09266666666666667,0.06798333333333333,0.11733333333333332,1.0,0.1513333333333334,0.09666666666666673,0.20933333333333337,0.2079246134009763,0.26666666666666666,0.6,0.4666666666666667,1.0666666666666667,-0.01733333333333332,-0.027333333333333334,-0.11666666666666667,0.15999999999999998,0.0026666666666666674,6.0,7.0,4.5
sca,reachable,15,0.2833333333333333,0.242,0.3226833333333332,1.0,1.3366666666666664,1.1419499999999998,1.5266833333333332,1.6467449723790115,0.9333333333333333,2.0,0.9333333333333333,0.7333333333333333,-0.5793333333333333,0.10266666666666666,0.23199999999999996,0.33866666666666667,-0.094,1.0,1.0,1.0
