domain,attribute,context,ctx_ref_exposure_low,ctx_ref_exposure_high,noul_low,noul_high,score_low,score_high,choice_low,choice_high,ref_low,ref_high
sast,asset,sast-cf01,0.0,0.0,0.06,0.09,0.19,0.35,DEFER,DEFER,DEFER,DEFER
sast,asset,sast-cf02,1.0,1.0,0.14,0.23,0.85,1.56,DEFER,DEFER,STANDARD,STANDARD
sast,asset,sast-cf03,1.0,2.0,0.16,0.36,1.23,1.89,STANDARD,STANDARD,STANDARD,STANDARD
sast,asset,sast-cf04,3.0,4.0,0.36,0.72,2.07,3.38,STANDARD,ACCELERATED,ACCELERATED,EMERGENCY
sast,asset,sast-cf05,3.0,4.0,0.31,0.64,2.24,3.4,STANDARD,ACCELERATED,ACCELERATED,EMERGENCY
sast,asset,sast-cf06,0.0,0.0,0.06,0.08,0.12,0.22,DEFER,DEFER,DEFER,DEFER
sast,asset,sast-cf07,0.0,1.0,0.13,0.17,0.65,1.07,DEFER,DEFER,DEFER,STANDARD
sast,asset,sast-cf08,1.0,2.0,0.21,0.37,1.27,2.01,STANDARD,STANDARD,STANDARD,STANDARD
sast,asset,sast-cf09,3.0,3.0,0.59,0.83,2.16,3.51,STANDARD,ACCELERATED,ACCELERATED,ACCELERATED
sast,asset,sast-cf10,3.0,4.0,0.57,0.82,2.51,3.49,STANDARD,ACCELERATED,ACCELERATED,EMERGENCY
sast,asset,sast-cf11,0.0,0.0,0.09,0.15,0.51,0.77,DEFER,DEFER,DEFER,DEFER
sast,asset,sast-cf12,1.0,2.0,0.5,0.82,1.88,3.62,STANDARD,ACCELERATED,STANDARD,STANDARD
sast,asset,sast-cf13,1.0,2.0,0.28,0.58,1.66,2.36,STANDARD,ACCELERATED,STANDARD,STANDARD
sast,asset,sast-cf14,3.0,4.0,0.55,0.87,2.33,3.85,STANDARD,EMERGENCY,ACCELERATED,EMERGENCY
sast,asset,sast-cf15,3.0,4.0,0.67,0.85,2.83,3.92,ACCELERATED,EMERGENCY,ACCELERATED,EMERGENCY
sast,attacker_controlled,sast-cf01,0.0,0.0,0.09,0.1,0.35,0.47,DEFER,DEFER,DEFER,DEFER
sast,attacker_controlled,sast-cf02,1.0,1.0,0.21,0.22,1.47,1.56,DEFER,DEFER,STANDARD,STANDARD
sast,attacker_controlled,sast-cf03,0.0,2.0,0.23,0.31,1.69,1.97,STANDARD,STANDARD,DEFER,STANDARD
sast,attacker_controlled,sast-cf04,0.0,3.0,0.27,0.36,1.74,2.07,DEFER,STANDARD,DEFER,ACCELERATED
sast,attacker_controlled,sast-cf05,1.0,4.0,0.41,0.59,2.68,3.12,DEFER,ACCELERATED,STANDARD,EMERGENCY
sast,attacker_controlled,sast-cf06,0.0,0.0,0.08,0.09,0.22,0.27,DEFER,DEFER,DEFER,DEFER
sast,attacker_controlled,sast-cf07,1.0,1.0,0.16,0.17,0.89,1.03,DEFER,DEFER,STANDARD,STANDARD
sast,attacker_controlled,sast-cf08,1.0,2.0,0.27,0.35,1.83,1.98,DEFER,STANDARD,STANDARD,STANDARD
sast,attacker_controlled,sast-cf09,1.0,3.0,0.62,0.79,2.54,2.85,REVIEW,ACCELERATED,STANDARD,ACCELERATED
sast,attacker_controlled,sast-cf10,1.0,4.0,0.59,0.73,2.83,3.0,ACCELERATED,ACCELERATED,STANDARD,EMERGENCY
sast,attacker_controlled,sast-cf11,0.0,0.0,0.13,0.15,0.77,0.77,DEFER,DEFER,DEFER,DEFER
sast,attacker_controlled,sast-cf12,0.0,1.0,0.38,0.69,2.07,2.41,STANDARD,ACCELERATED,DEFER,STANDARD
sast,attacker_controlled,sast-cf13,0.0,2.0,0.46,0.58,2.21,2.36,REVIEW,ACCELERATED,DEFER,STANDARD
sast,attacker_controlled,sast-cf14,0.0,3.0,0.36,0.55,2.03,2.33,STANDARD,STANDARD,DEFER,ACCELERATED
sast,attacker_controlled,sast-cf15,1.0,4.0,0.67,0.85,3.65,3.87,REVIEW,ACCELERATED,STANDARD,EMERGENCY
sast,auth,sast-cf01,0.0,0.0,0.09,0.09,0.3,0.32,DEFER,DEFER,DEFER,DEFER
sast,auth,sast-cf02,1.0,1.0,0.22,0.22,1.27,1.56,DEFER,DEFER,STANDARD,STANDARD
sast,auth,sast-cf03,1.0,2.0,0.33,0.31,2.06,1.97,STANDARD,STANDARD,STANDARD,STANDARD
sast,auth,sast-cf04,3.0,3.0,0.41,0.36,2.08,2.07,STANDARD,STANDARD,ACCELERATED,ACCELERATED
sast,auth,sast-cf05,4.0,4.0,0.59,0.59,3.12,3.09,ACCELERATED,ACCELERATED,EMERGENCY,EMERGENCY
sast,auth,sast-cf06,0.0,0.0,0.08,0.08,0.27,0.22,DEFER,DEFER,DEFER,DEFER
sast,auth,sast-cf07,1.0,1.0,0.17,0.17,1.08,1.03,DEFER,DEFER,STANDARD,STANDARD
sast,auth,sast-cf08,1.0,2.0,0.39,0.35,2.11,1.98,STANDARD,STANDARD,STANDARD,STANDARD
sast,auth,sast-cf09,2.0,3.0,0.76,0.79,2.72,2.85,ACCELERATED,ACCELERATED,STANDARD,ACCELERATED
sast,auth,sast-cf10,3.0,4.0,0.7,0.73,2.95,3.0,ACCELERATED,ACCELERATED,ACCELERATED,EMERGENCY
sast,auth,sast-cf11,0.0,0.0,0.14,0.15,0.77,0.77,DEFER,DEFER,DEFER,DEFER
sast,auth,sast-cf12,1.0,1.0,0.66,0.69,2.33,2.41,ACCELERATED,ACCELERATED,STANDARD,STANDARD
sast,auth,sast-cf13,2.0,3.0,0.58,0.52,2.36,2.25,ACCELERATED,STANDARD,STANDARD,ACCELERATED
sast,auth,sast-cf14,3.0,3.0,0.55,0.56,2.33,2.46,STANDARD,STANDARD,ACCELERATED,ACCELERATED
sast,auth,sast-cf15,3.0,4.0,0.83,0.85,3.83,3.87,ACCELERATED,ACCELERATED,ACCELERATED,EMERGENCY
sast,internet,sast-cf01,0.0,0.0,0.09,0.11,0.35,0.51,DEFER,DEFER,DEFER,DEFER
sast,internet,sast-cf02,1.0,1.0,0.22,0.3,1.56,1.86,DEFER,DEFER,STANDARD,STANDARD
sast,internet,sast-cf03,2.0,2.0,0.31,0.49,1.97,2.63,STANDARD,ACCELERATED,STANDARD,STANDARD
sast,internet,sast-cf04,3.0,3.0,0.21,0.36,1.37,2.07,STANDARD,STANDARD,ACCELERATED,ACCELERATED
sast,internet,sast-cf05,3.0,4.0,0.46,0.59,2.65,3.12,ACCELERATED,ACCELERATED,ACCELERATED,EMERGENCY
sast,internet,sast-cf06,0.0,0.0,0.08,0.09,0.22,0.29,DEFER,DEFER,DEFER,DEFER
sast,internet,sast-cf07,1.0,1.0,0.14,0.17,0.83,1.03,DEFER,DEFER,STANDARD,STANDARD
sast,internet,sast-cf08,2.0,3.0,0.35,0.49,1.98,2.55,STANDARD,ACCELERATED,STANDARD,ACCELERATED
sast,internet,sast-cf09,2.0,3.0,0.57,0.79,1.95,2.85,STANDARD,ACCELERATED,STANDARD,ACCELERATED
sast,internet,sast-cf10,3.0,4.0,0.53,0.73,2.37,3.0,STANDARD,ACCELERATED,ACCELERATED,EMERGENCY
sast,internet,sast-cf11,0.0,0.0,0.15,0.17,0.77,1.15,DEFER,DEFER,DEFER,DEFER
sast,internet,sast-cf12,1.0,1.0,0.47,0.69,1.89,2.41,STANDARD,ACCELERATED,STANDARD,STANDARD
sast,internet,sast-cf13,2.0,3.0,0.58,0.78,2.36,3.65,ACCELERATED,ACCELERATED,STANDARD,ACCELERATED
sast,internet,sast-cf14,2.0,3.0,0.37,0.55,1.87,2.33,STANDARD,STANDARD,STANDARD,ACCELERATED
sast,internet,sast-cf15,3.0,4.0,0.72,0.85,2.74,3.87,ACCELERATED,ACCELERATED,ACCELERATED,EMERGENCY
sast,reachable,sast-cf01,0.0,0.0,0.07,0.09,0.14,0.35,DEFER,DEFER,DEFER,DEFER
sast,reachable,sast-cf02,1.0,3.0,0.22,0.61,1.56,2.78,DEFER,ACCELERATED,STANDARD,ACCELERATED
sast,reachable,sast-cf03,0.0,2.0,0.14,0.31,0.67,1.97,DEFER,STANDARD,DEFER,STANDARD
sast,reachable,sast-cf04,0.0,3.0,0.16,0.36,0.79,2.07,DEFER,STANDARD,DEFER,ACCELERATED
sast,reachable,sast-cf05,1.0,4.0,0.21,0.59,1.41,3.12,DEFER,ACCELERATED,STANDARD,EMERGENCY
sast,reachable,sast-cf06,0.0,0.0,0.08,0.11,0.22,0.59,DEFER,DEFER,DEFER,DEFER
sast,reachable,sast-cf07,1.0,1.0,0.17,0.24,1.03,1.83,DEFER,DEFER,STANDARD,STANDARD
sast,reachable,sast-cf08,1.0,2.0,0.18,0.35,0.93,1.98,DEFER,STANDARD,STANDARD,STANDARD
sast,reachable,sast-cf09,1.0,3.0,0.24,0.79,1.17,2.85,DEFER,ACCELERATED,STANDARD,ACCELERATED
sast,reachable,sast-cf10,1.0,4.0,0.31,0.73,1.77,3.0,DEFER,ACCELERATED,STANDARD,EMERGENCY
sast,reachable,sast-cf11,0.0,0.0,0.1,0.15,0.35,0.77,DEFER,DEFER,DEFER,DEFER
sast,reachable,sast-cf12,0.0,1.0,0.18,0.69,0.88,2.41,DEFER,ACCELERATED,DEFER,STANDARD
sast,reachable,sast-cf13,0.0,2.0,0.2,0.58,0.91,2.36,DEFER,ACCELERATED,DEFER,STANDARD
sast,reachable,sast-cf14,0.0,3.0,0.13,0.55,0.72,2.33,DEFER,STANDARD,DEFER,ACCELERATED
sast,reachable,sast-cf15,1.0,4.0,0.27,0.85,1.37,3.87,DEFER,ACCELERATED,STANDARD,EMERGENCY
sast,sanitization,sast-cf01,0.0,0.0,0.09,0.13,0.35,0.75,DEFER,DEFER,DEFER,DEFER
sast,sanitization,sast-cf02,1.0,1.0,0.11,0.21,0.47,1.41,DEFER,DEFER,STANDARD,STANDARD
sast,sanitization,sast-cf03,0.0,2.0,0.12,0.31,0.58,1.97,DEFER,STANDARD,DEFER,STANDARD
sast,sanitization,sast-cf04,0.0,3.0,0.16,0.36,1.1,2.07,DEFER,STANDARD,DEFER,ACCELERATED
sast,sanitization,sast-cf05,1.0,4.0,0.31,0.59,2.17,3.12,STANDARD,ACCELERATED,STANDARD,EMERGENCY
sast,sanitization,sast-cf06,0.0,0.0,0.08,0.11,0.22,0.37,DEFER,DEFER,DEFER,DEFER
sast,sanitization,sast-cf07,1.0,1.0,0.17,0.22,1.03,1.4,DEFER,DEFER,STANDARD,STANDARD
sast,sanitization,sast-cf08,1.0,3.0,0.16,0.37,1.15,2.05,DEFER,STANDARD,STANDARD,ACCELERATED
sast,sanitization,sast-cf09,1.0,4.0,0.26,0.78,1.59,2.88,DEFER,ACCELERATED,STANDARD,EMERGENCY
sast,sanitization,sast-cf10,1.0,4.0,0.2,0.78,1.42,3.09,DEFER,ACCELERATED,STANDARD,EMERGENCY
sast,sanitization,sast-cf11,0.0,0.0,0.08,0.14,0.38,0.77,DEFER,DEFER,DEFER,DEFER
sast,sanitization,sast-cf12,0.0,1.0,0.18,0.65,1.04,2.45,DEFER,ACCELERATED,DEFER,STANDARD
sast,sanitization,sast-cf13,0.0,2.0,0.15,0.58,0.95,2.36,DEFER,ACCELERATED,DEFER,STANDARD
sast,sanitization,sast-cf14,0.0,3.0,0.1,0.55,0.59,2.33,DEFER,STANDARD,DEFER,ACCELERATED
sast,sanitization,sast-cf15,1.0,4.0,0.26,0.85,1.65,3.87,DEFER,ACCELERATED,STANDARD,EMERGENCY
sast,severity,sast-cf01,0.0,0.0,0.11,0.13,0.44,0.42,DEFER,DEFER,DEFER,DEFER
sast,severity,sast-cf02,1.0,1.0,0.19,0.21,1.52,1.4,DEFER,DEFER,STANDARD,STANDARD
sast,severity,sast-cf03,2.0,3.0,0.31,0.47,1.97,1.96,STANDARD,STANDARD,STANDARD,ACCELERATED
sast,severity,sast-cf04,3.0,4.0,0.27,0.45,2.0,2.25,STANDARD,STANDARD,ACCELERATED,EMERGENCY
sast,severity,sast-cf05,4.0,4.0,0.59,0.77,3.12,3.56,ACCELERATED,ACCELERATED,EMERGENCY,EMERGENCY
sast,severity,sast-cf06,0.0,0.0,0.09,0.1,0.21,0.17,DEFER,DEFER,DEFER,DEFER
sast,severity,sast-cf07,1.0,1.0,0.16,0.16,1.03,0.93,DEFER,DEFER,STANDARD,STANDARD
sast,severity,sast-cf08,2.0,2.0,0.28,0.4,1.92,1.94,STANDARD,STANDARD,STANDARD,STANDARD
