domain,field,mode,group,ref_disp,ref_review,stakes,anchor_choice,choice,changed,selected_review,correct,d_p_review,d_conf,d_noul,d_score,d_score_conf
sca,reachable,unknown,sca-main-092,REVIEW,True,defer_vs_standard,STANDARD,REVIEW,True,True,True,0.74,0.25,-0.07,-0.42999999999999994,0.07999999999999996
sca,reachable,omitted,sca-main-092,REVIEW,True,defer_vs_standard,STANDARD,STANDARD,False,False,False,0.03,-0.19999999999999996,-0.060000000000000026,-0.34999999999999987,0.020000000000000018
sca,epss,unknown,sca-main-092,STANDARD,False,none,STANDARD,STANDARD,False,False,True,0.09999999999999998,-0.12,0.08999999999999997,0.040000000000000036,0.0
sca,epss,omitted,sca-main-092,STANDARD,False,none,STANDARD,STANDARD,False,False,True,0.0,-0.039999999999999925,0.07,0.030000000000000027,-0.010000000000000009
sca,asset,unknown,sca-main-092,STANDARD,False,none,STANDARD,REVIEW,True,True,False,0.37,-0.20999999999999996,0.0,-0.19999999999999996,-0.06000000000000005
sca,asset,omitted,sca-main-092,STANDARD,False,none,STANDARD,STANDARD,False,False,True,0.0,-0.04999999999999993,0.010000000000000009,-0.26,-0.040000000000000036
sca,internet,unknown,sca-main-092,STANDARD,False,none,STANDARD,REVIEW,True,True,False,0.38,-0.20999999999999996,0.04999999999999999,0.040000000000000036,0.0
sca,internet,omitted,sca-main-092,STANDARD,False,none,STANDARD,STANDARD,False,False,True,0.01999999999999999,-0.020000000000000018,0.07,0.14000000000000012,0.040000000000000036
sca,reachable,unknown,sca-main-013,REVIEW,True,urgency,EMERGENCY,REVIEW,True,True,True,0.43,-0.51,-0.050000000000000044,-0.28000000000000025,0.10999999999999999
sca,reachable,omitted,sca-main-013,REVIEW,True,urgency,EMERGENCY,EMERGENCY,False,False,False,0.0,-0.040000000000000036,0.0,-0.020000000000000018,-0.010000000000000009
sca,epss,unknown,sca-main-013,EMERGENCY,False,none,EMERGENCY,EMERGENCY,False,False,True,0.0,0.10999999999999999,0.030000000000000027,0.20000000000000018,0.18000000000000005
sca,epss,omitted,sca-main-013,EMERGENCY,False,none,EMERGENCY,EMERGENCY,False,False,True,0.0,0.08999999999999997,0.039999999999999925,0.20000000000000018,0.17000000000000004
sca,asset,unknown,sca-main-013,REVIEW,True,defer_vs_standard,EMERGENCY,EMERGENCY,False,False,False,0.049999999999999996,-0.29000000000000004,-0.030000000000000027,-0.29000000000000004,0.15000000000000002
sca,asset,omitted,sca-main-013,REVIEW,True,defer_vs_standard,EMERGENCY,EMERGENCY,False,False,False,0.0,-0.22000000000000008,-0.020000000000000018,-0.22999999999999998,0.09999999999999998
sca,internet,unknown,sca-main-013,REVIEW,True,defer_vs_standard,EMERGENCY,EMERGENCY,False,False,False,0.19999999999999998,-0.46,-0.07000000000000006,-0.41999999999999993,0.20000000000000007
sca,internet,omitted,sca-main-013,REVIEW,True,defer_vs_standard,EMERGENCY,EMERGENCY,False,False,False,0.0,-0.030000000000000027,-0.030000000000000027,-0.14000000000000012,-0.010000000000000009
sca,reachable,unknown,sca-main-097,REVIEW,True,urgency,DEFER,REVIEW,True,True,True,0.6799999999999999,0.35,-0.030000000000000027,-0.22999999999999998,0.24
sca,reachable,omitted,sca-main-097,REVIEW,True,urgency,DEFER,DEFER,False,False,False,0.07,-0.03999999999999998,-0.010000000000000009,-0.20999999999999996,0.16999999999999998
sca,epss,unknown,sca-main-097,ACCELERATED,False,none,DEFER,DEFER,False,False,False,0.05000000000000002,-0.03999999999999998,-0.010000000000000009,-0.040000000000000036,0.06
sca,epss,omitted,sca-main-097,ACCELERATED,False,none,DEFER,DEFER,False,False,False,0.04000000000000001,-0.019999999999999962,0.0,-0.050000000000000266,0.07
