domain,field,mode,n,ref_review_rate,selected_review,choice_changed,mean_d_p_review,mean_d_conf,mean_d_noul,mean_d_score
sast,asset,omitted,10,0.5,0.0,0.0,-0.005000000000000002,-0.002000000000000013,-0.006000000000000004,0.019000000000000006
sast,asset,unknown,10,0.5,0.0,0.0,0.137,-0.12200000000000003,1.6653345369377347e-17,-0.03800000000000002
sast,attacker_controlled,omitted,10,0.2,0.0,0.0,0.007999999999999998,-0.06900000000000002,-0.003999999999999987,0.03299999999999999
sast,attacker_controlled,unknown,10,0.2,0.7,0.7,0.393,-0.18,-0.009999999999999976,0.021999999999999985
sast,reachable,omitted,10,0.3,0.0,0.2,-0.017999999999999995,-0.08600000000000001,0.097,0.46799999999999997
sast,reachable,unknown,10,0.3,1.0,1.0,0.709,0.11200000000000002,0.030000000000000006,0.351
sast,sanitization,omitted,10,0.2,0.0,0.0,-0.008999999999999998,0.005999999999999983,-0.02099999999999998,-0.10199999999999998
sast,sanitization,unknown,10,0.2,0.4,0.4,0.271,-0.15300000000000002,-0.03399999999999999,-0.10600000000000007
sca,asset,omitted,10,0.4,0.0,0.1,0.012999999999999998,-0.009000000000000003,-0.03900000000000002,-0.21900000000000008
sca,asset,unknown,10,0.4,0.3,0.4,0.231,-0.13399999999999998,-0.044000000000000025,-0.21500000000000002
sca,epss,omitted,10,0.2,0.0,0.0,0.0019999999999999983,0.04100000000000001,0.03299999999999999,0.053000000000000005
sca,epss,unknown,10,0.2,0.0,0.0,0.049,-0.022999999999999986,0.034999999999999976,0.08100000000000003
sca,internet,omitted,10,0.3,0.0,0.2,-0.026000000000000002,0.048999999999999995,-0.01600000000000002,-0.03200000000000004
sca,internet,unknown,10,0.3,0.6,0.6,0.30100000000000005,-0.147,-0.039000000000000035,-0.137
sca,reachable,omitted,10,0.7,0.1,0.1,0.05,-0.127,-0.007000000000000015,-0.04600000000000002
sca,reachable,unknown,10,0.7,1.0,1.0,0.6439999999999999,0.135,-0.06300000000000003,-0.17100000000000007
