domain,variant,group,same_choice,d_noul,d_score,correct_canonical,correct_variant
sca,reworded_description,sca-main-088,True,0.0,0.050000000000000266,True,True
sca,alt_keys,sca-main-088,False,-0.050000000000000044,-0.5299999999999998,True,False
sca,prose,sca-main-088,False,-0.08000000000000007,-0.23999999999999977,True,False
sca,reworded_description,sca-main-072,True,-0.020000000000000018,-0.029999999999999805,False,False
sca,alt_keys,sca-main-072,True,-0.020000000000000018,0.18999999999999995,False,False
sca,prose,sca-main-072,False,-0.17000000000000004,-0.53,False,False
sca,reworded_description,sca-main-010,True,0.010000000000000009,0.010000000000000231,False,False
sca,alt_keys,sca-main-010,True,-0.010000000000000009,-0.18999999999999995,False,False
sca,prose,sca-main-010,True,-0.16000000000000003,-0.23999999999999977,False,False
sca,reworded_description,sca-main-007,True,-0.020000000000000018,-0.10999999999999988,False,False
sca,alt_keys,sca-main-007,True,-0.10000000000000003,-0.010000000000000009,False,False
sca,prose,sca-main-007,True,-0.21000000000000002,-0.3799999999999999,False,False
sca,reworded_description,sca-main-100,True,0.02999999999999997,0.030000000000000027,True,True
sca,alt_keys,sca-main-100,True,-0.04000000000000001,-0.05999999999999983,True,True
sca,prose,sca-main-100,True,-0.010000000000000009,-0.08999999999999986,True,True
sca,reworded_description,sca-main-068,True,0.0,0.009999999999999787,False,False
sca,alt_keys,sca-main-068,True,-0.18000000000000005,-0.71,False,False
sca,prose,sca-main-068,True,-0.15000000000000002,-0.3999999999999999,False,False
sca,reworded_description,sca-main-008,True,-0.010000000000000009,-0.06999999999999984,True,True
sca,alt_keys,sca-main-008,True,-0.010000000000000009,0.0,True,True
sca,prose,sca-main-008,True,-0.040000000000000036,-0.009999999999999787,True,True
sca,reworded_description,sca-main-001,True,0.0,-0.020000000000000018,False,False
sca,alt_keys,sca-main-001,True,-0.04000000000000001,-0.47,False,False
sca,prose,sca-main-001,True,-0.07,-0.3599999999999999,False,False
sca,reworded_description,sca-main-027,True,0.0,0.050000000000000044,False,False
sca,alt_keys,sca-main-027,True,0.010000000000000009,0.2100000000000002,False,False
sca,prose,sca-main-027,True,-0.06,-0.7699999999999999,False,False
sca,reworded_description,sca-main-035,True,-0.010000000000000009,-0.050000000000000044,False,False
sca,alt_keys,sca-main-035,True,0.0,-0.29000000000000004,False,False
sca,prose,sca-main-035,True,-0.21999999999999997,-0.28,False,False
sast,reworded_description,sast-main-062,True,0.0,-0.06000000000000005,False,False
sast,alt_keys,sast-main-062,True,0.030000000000000027,0.41999999999999993,False,False
sast,prose,sast-main-062,True,0.040000000000000036,-0.14000000000000012,False,False
sast,reworded_description,sast-main-086,True,0.010000000000000009,0.10000000000000009,True,True
sast,alt_keys,sast-main-086,False,0.03999999999999998,0.040000000000000036,True,False
sast,prose,sast-main-086,True,0.08999999999999997,0.33000000000000007,True,True
sast,reworded_description,sast-main-049,True,0.020000000000000004,0.09000000000000008,True,True
sast,alt_keys,sast-main-049,False,0.06,0.33000000000000007,True,False
sast,prose,sast-main-049,True,0.04000000000000001,0.32000000000000006,True,True
sast,reworded_description,sast-main-025,True,0.010000000000000009,0.050000000000000044,False,False
sast,alt_keys,sast-main-025,True,0.020000000000000018,0.37,False,False
sast,prose,sast-main-025,True,-0.04999999999999999,-0.27,False,False
sast,reworded_description,sast-main-081,True,0.010000000000000009,0.06000000000000005,True,True
sast,alt_keys,sast-main-081,True,0.030000000000000027,0.41999999999999993,True,True
sast,prose,sast-main-081,True,0.020000000000000018,0.07000000000000028,True,True
sast,reworded_description,sast-main-097,True,0.0,0.05000000000000002,True,True
sast,alt_keys,sast-main-097,True,0.03,0.25,True,True
sast,prose,sast-main-097,True,0.009999999999999995,0.10999999999999999,True,True
sast,reworded_description,sast-main-080,True,0.0,0.0,True,True
sast,alt_keys,sast-main-080,True,-0.009999999999999898,-0.040000000000000036,True,True
sast,prose,sast-main-080,True,0.010000000000000009,-0.010000000000000231,True,True
sast,reworded_description,sast-main-034,True,0.0,0.0,True,True
sast,alt_keys,sast-main-034,True,0.03,0.07999999999999996,True,True
sast,prose,sast-main-034,True,-0.010000000000000009,-0.10000000000000003,True,True
sast,reworded_description,sast-main-067,True,0.009999999999999995,0.050000000000000044,True,True
sast,alt_keys,sast-main-067,True,0.009999999999999995,-0.10999999999999999,True,True
sast,prose,sast-main-067,True,-0.009999999999999995,-0.04999999999999993,True,True
sast,reworded_description,sast-main-061,True,0.010000000000000009,0.040000000000000036,False,False
sast,alt_keys,sast-main-061,False,0.10000000000000009,0.1499999999999999,False,False
sast,prose,sast-main-061,False,0.06000000000000005,0.20999999999999996,False,False
