group,domain,n,distinct_choices,noul_range,score_range,max_prob_range,distinct_response_ids
sast-main-002,sast,4,1,0.010000000000000009,0.04999999999999982,0.050000000000000044,4
sast-main-007,sast,4,1,0.0,0.030000000000000013,0.020000000000000018,4
sast-main-018,sast,4,1,0.019999999999999962,0.07000000000000006,0.12999999999999995,4
sast-main-027,sast,4,1,0.04999999999999993,0.06999999999999984,0.08000000000000002,4
sast-main-034,sast,4,1,0.010000000000000009,0.10999999999999999,0.08999999999999997,4
sast-main-049,sast,4,1,0.010000000000000009,0.040000000000000036,0.050000000000000044,4
sast-main-075,sast,4,1,0.020000000000000018,0.10999999999999988,0.040000000000000036,4
sast-main-091,sast,4,1,0.020000000000000018,0.030000000000000027,0.050000000000000044,4
sast-main-095,sast,4,2,0.019999999999999907,0.06999999999999984,0.11000000000000004,4
sast-main-097,sast,4,1,0.0,0.04000000000000001,0.04000000000000001,4
sca-main-005,sca,4,1,0.050000000000000044,0.09000000000000008,0.06999999999999995,4
sca-main-013,sca,4,1,0.010000000000000009,0.06000000000000005,0.040000000000000036,4
sca-main-037,sca,4,1,0.050000000000000044,0.1200000000000001,0.06,4
sca-main-038,sca,4,1,0.030000000000000027,0.040000000000000036,0.04000000000000001,4
sca-main-046,sca,4,1,0.009999999999999981,0.06,0.04999999999999993,4
sca-main-050,sca,4,1,0.01999999999999999,0.10999999999999999,0.06,4
sca-main-051,sca,4,1,0.010000000000000009,0.040000000000000036,0.04,4
sca-main-057,sca,4,1,0.030000000000000027,0.08000000000000007,0.05000000000000002,4
sca-main-081,sca,4,1,0.030000000000000027,0.040000000000000036,0.050000000000000044,4
sca-main-100,sca,4,1,0.020000000000000018,0.050000000000000044,0.06999999999999995,4
