scope,pipeline,n,attacker_controlled,reachable,sanitization,auth,internet,test_code,sensitive,all_fields_correct
A,regex,300,0.8533333333333334,0.91,0.9866666666666667,0.98,1.0,0.9466666666666667,0.92,0.7
A,jev,300,0.9966666666666667,1.0,0.9266666666666666,0.9,1.0,1.0,0.9866666666666667,0.8133333333333334
B,regex,150,0.32,0.24666666666666667,0.62,0.78,0.52,0.8533333333333334,0.5,0.02
B,jev,150,1.0,1.0,0.8533333333333334,0.9466666666666667,1.0,0.9866666666666667,0.9866666666666667,0.78
all,regex,450,0.6755555555555556,0.6888888888888889,0.8644444444444445,0.9133333333333333,0.84,0.9155555555555556,0.78,0.47333333333333333
all,jev,450,0.9977777777777778,1.0,0.9022222222222223,0.9155555555555556,1.0,0.9955555555555555,0.9866666666666667,0.8022222222222222
subset_A,regex,75,0.8266666666666667,0.9333333333333333,0.9733333333333334,0.9733333333333334,1.0,0.96,0.9066666666666666,0.6666666666666666
subset_A,jev,75,1.0,1.0,0.9333333333333333,0.9066666666666666,1.0,1.0,0.9866666666666667,0.8266666666666667
subset_A,sonnet,75,0.9733333333333334,1.0,0.8533333333333334,0.9333333333333333,1.0,1.0,0.9866666666666667,0.76
subset_B,regex,75,0.28,0.30666666666666664,0.5733333333333334,0.84,0.5333333333333333,0.8933333333333333,0.48,0.02666666666666667
subset_B,jev,75,1.0,1.0,0.8533333333333334,0.92,1.0,0.9866666666666667,0.9733333333333334,0.7466666666666667
subset_B,sonnet,75,0.9866666666666667,1.0,0.8,0.9066666666666666,1.0,1.0,0.96,0.6933333333333334
subset_all,regex,150,0.5533333333333333,0.62,0.7733333333333333,0.9066666666666666,0.7666666666666667,0.9266666666666666,0.6933333333333334,0.3466666666666667
subset_all,jev,150,1.0,1.0,0.8933333333333333,0.9133333333333333,1.0,0.9933333333333333,0.98,0.7866666666666666
subset_all,sonnet,150,0.98,1.0,0.8266666666666667,0.92,1.0,1.0,0.9733333333333334,0.7266666666666667
