scope,pipeline,n,n_urgent,queue,queue_share,urgent_caught,urgent_missed,recall,precision,failed
A,oracle,300,50,50,0.16666666666666666,50,0,1.0,1.0,0
A,severity_only,300,50,243,0.81,46,4,0.92,0.18930041152263374,0
A,regex,300,50,49,0.16333333333333333,41,9,0.82,0.8367346938775511,0
A,jev,300,50,61,0.20333333333333334,50,0,1.0,0.819672131147541,0
A,jev_routed,300,50,171,0.57,50,0,1.0,0.29239766081871343,0
B,oracle,150,24,24,0.16,24,0,1.0,1.0,0
B,severity_only,150,24,123,0.82,21,3,0.875,0.17073170731707318,0
B,regex,150,24,0,0.0,0,24,0.0,,0
B,jev,150,24,31,0.20666666666666667,24,0,1.0,0.7741935483870968,0
B,jev_routed,150,24,94,0.6266666666666667,24,0,1.0,0.2553191489361702,0
all,oracle,450,74,74,0.16444444444444445,74,0,1.0,1.0,0
all,severity_only,450,74,366,0.8133333333333334,67,7,0.9054054054054054,0.1830601092896175,0
all,regex,450,74,49,0.10888888888888888,41,33,0.5540540540540541,0.8367346938775511,0
all,jev,450,74,92,0.20444444444444446,74,0,1.0,0.8043478260869565,0
all,jev_routed,450,74,265,0.5888888888888889,74,0,1.0,0.2792452830188679,0
subset_A,oracle,75,12,12,0.16,12,0,1.0,1.0,0
subset_A,severity_only,75,12,60,0.8,11,1,0.9166666666666666,0.18333333333333332,0
subset_A,regex,75,12,13,0.17333333333333334,10,2,0.8333333333333334,0.7692307692307693,0
subset_A,jev,75,12,15,0.2,12,0,1.0,0.8,0
subset_A,jev_routed,75,12,43,0.5733333333333334,12,0,1.0,0.27906976744186046,0
subset_A,sonnet,75,12,13,0.17333333333333334,12,0,1.0,0.9230769230769231,0
subset_A,sonnet_routed,75,12,40,0.5333333333333333,12,0,1.0,0.3,0
subset_B,oracle,75,12,12,0.16,12,0,1.0,1.0,0
subset_B,severity_only,75,12,62,0.8266666666666667,11,1,0.9166666666666666,0.1774193548387097,0
subset_B,regex,75,12,0,0.0,0,12,0.0,,0
subset_B,jev,75,12,16,0.21333333333333335,12,0,1.0,0.75,0
subset_B,jev_routed,75,12,48,0.64,12,0,1.0,0.25,0
subset_B,sonnet,75,12,17,0.22666666666666666,12,0,1.0,0.7058823529411765,0
subset_B,sonnet_routed,75,12,54,0.72,12,0,1.0,0.2222222222222222,0
subset_all,oracle,150,24,24,0.16,24,0,1.0,1.0,0
subset_all,severity_only,150,24,122,0.8133333333333334,22,2,0.9166666666666666,0.18032786885245902,0
subset_all,regex,150,24,13,0.08666666666666667,10,14,0.4166666666666667,0.7692307692307693,0
subset_all,jev,150,24,31,0.20666666666666667,24,0,1.0,0.7741935483870968,0
subset_all,jev_routed,150,24,91,0.6066666666666667,24,0,1.0,0.26373626373626374,0
subset_all,sonnet,150,24,30,0.2,24,0,1.0,0.8,0
subset_all,sonnet_routed,150,24,94,0.6266666666666667,24,0,1.0,0.2553191489361702,0
