trap,field,pipeline,n,accuracy
second_order_source,attacker_controlled,regex,70,0.0
second_order_source,attacker_controlled,jev,70,1.0
second_order_source,attacker_controlled,sonnet,27,0.8888888888888888
opaque_helper,sanitization,regex,62,1.0
opaque_helper,sanitization,jev,62,0.8225806451612904
opaque_helper,sanitization,sonnet,18,0.7222222222222222
misleading_comment,sanitization,regex,33,1.0
misleading_comment,sanitization,jev,33,1.0
misleading_comment,sanitization,sonnet,17,1.0
misleading_todo,sanitization,regex,11,1.0
misleading_todo,sanitization,jev,11,0.6363636363636364
misleading_todo,sanitization,sonnet,4,0.5
non_auth_decorator,auth,regex,42,1.0
non_auth_decorator,auth,jev,42,1.0
non_auth_decorator,auth,sonnet,21,0.9047619047619048
unreachable_commented,reachable,regex,26,0.38461538461538464
unreachable_commented,reachable,jev,26,1.0
unreachable_commented,reachable,sonnet,9,1.0
unreachable_flag,reachable,regex,26,0.5769230769230769
unreachable_flag,reachable,jev,26,1.0
unreachable_flag,reachable,sonnet,12,1.0
unreachable_absent,reachable,regex,30,1.0
unreachable_absent,reachable,jev,30,1.0
unreachable_absent,reachable,sonnet,12,1.0
test_path_without_test_word,test_code,regex,16,0.0
test_path_without_test_word,test_code,jev,16,1.0
test_path_without_test_word,test_code,sonnet,3,1.0
